Overall Rank,Team,Total Games,Wins,Losses,Winning Percentage,Pts For,Pts Against,Pts/Game,Pts Allowed/Game,Scoring Margin,Scoring Margin Per Game
91,Kent,31,19,12,61.29%,2214,2088,71.42,67.35,126,4.06
92,Denver,29,21,8,72.41%,1895,1599,65.34,55.14,296,10.21
93,Middle Tenn St,33,28,5,84.85%,2351,1907,71.24,57.79,444,13.45
94,St Bonaventure,29,14,15,48.28%,2109,2088,72.72,72.00,21,0.72
95,SF Austin,25,22,3,88.00%,1571,1274,62.84,50.96,297,11.88
96,Weber St,27,22,5,81.48%,1977,1672,73.22,61.93,305,11.30
97,Charlotte,30,20,10,66.67%,2040,2021,68.00,67.37,19,0.63
98,Davidson,31,24,7,77.42%,2265,1929,73.06,62.23,336,10.84
99,Mississippi,31,23,8,74.19%,2454,2110,79.16,68.06,344,11.10
100,Bucknell,31,26,5,83.87%,2088,1790,67.35,57.74,298,9.61
101,Stony Brook,30,23,7,76.67%,2018,1708,67.27,56.93,310,10.33
102,Louisiana Tech,30,25,5,83.33%,2162,1901,72.07,63.37,261,8.70
103,N Dakota St,29,21,8,72.41%,1923,1633,66.31,56.31,290,10.00
104,Valparaiso,31,24,7,77.42%,2225,1949,71.77,62.87,276,8.90
105,Ohio,31,23,8,74.19%,2287,2003,73.77,64.61,284,9.16
106,Southern Univ,27,18,9,66.67%,1814,1591,67.19,58.93,223,8.26
107,Lehigh,29,20,9,68.97%,2119,1909,73.07,65.83,210,7.24
108,E Kentucky,31,22,9,70.97%,2259,2068,72.87,66.71,191,6.16
109,S Dakota St,29,20,9,68.97%,2107,1934,72.66,66.69,173,5.97
110,Robert Morris,33,23,10,69.70%,2353,2166,71.30,65.64,187,5.67
111,Northwestern LA,25,17,8,68.00%,1982,1838,79.28,73.52,144,5.76
112,NC Central,27,19,8,70.37%,1737,1589,64.33,58.85,148,5.48
113,Col Charleston,32,24,8,75.00%,2116,1959,66.13,61.22,157,4.91
114,Mercer,32,21,11,65.63%,2090,1917,65.31,59.91,173,5.41
115,Montana,27,21,6,77.78%,1907,1784,70.63,66.07,123,4.56
116,W Illinois,27,20,7,74.07%,1569,1440,58.11,53.33,129,4.78
117,FL Gulf Coast,32,22,10,68.75%,2315,2154,72.34,67.31,161,5.03
118,Vermont,31,21,10,67.74%,1981,1824,63.90,58.84,157,5.06
119,Harvard,27,18,9,66.67%,1861,1734,68.93,64.22,127,4.70
120,Arkansas St,30,18,12,60.00%,2051,1897,68.37,63.23,154,5.13
121,Albany NY,33,23,10,69.70%,2137,2001,64.76,60.64,136,4.12
122,TX Southern,31,17,14,54.84%,2179,2019,70.29,65.13,160,5.16
123,Murray St,29,19,10,65.52%,2093,1874,72.17,64.62,119,4.10
124,Houston,28,17,11,60.71%,2175,2054,77.68,73.36,121,4.32
125,Princeton,26,15,11,57.69%,1661,1544,63.88,59.38,117,4.50
126,Tulane,30,17,13,56.67%,2077,1947,69.23,64.90,130,4.33
127,Wright St,31,20,11,64.52%,1923,1810,62.03,58.39,113,3.65
128,Loyola MD,32,21,11,65.63%,2140,2029,66.88,63.41,111,3.47
129,Charleston So,28,16,12,57.14%,1979,1869,70.68,66.75,110,3.93
130,Iona,32,19,13,59.38%,2603,2443,81.34,76.34,160,5.00
131,Boston Univ,29,17,12,58.62%,1972,1865,68.00,64.31,107,3.69
132,Bryant,30,19,11,63.33%,2223,2136,74.10,71.20,87,2.90
133,Gardner Webb,30,18,12,60.00%,1937,1846,64.57,61.53,91,3.03
134,High Point,28,15,13,53.57%,1958,1874,69.93,66.93,84,3.00
135,Oral Roberts,30,17,13,56.67%,2105,2021,70.17,67.37,84,2.80
136,Army,30,15,15,50.00%,2155,2064,71.83,68.80,91,3.03
137,Long Island,32,19,13,59.38%,2531,2451,79.09,76.59,80,2.50
138,Elon,30,19,11,63.33%,2041,1975,68.03,65.83,66,2.20
139,Niagara,32,19,13,59.38%,2366,2293,73.94,71.66,73,2.28
140,W Michigan,29,18,11,62.07%,1928,1868,66.48,64.41,60,2.07
141,WI Green Bay,32,17,15,53.13%,2094,2024,65.44,63.25,70,2.19
142,Wagner,31,19,12,61.29%,2136,2079,68.90,67.06,57,1.84
143,Northeastern,31,20,11,64.52%,2173,2122,70.10,68.45,51,1.65
144,UT Arlington,29,17,12,58.62%,1838,1793,63.38,61.83,45,1.55
145,Fairfield,34,19,15,55.88%,2051,1998,60.32,58.76,53,1.56
146,Morgan St,28,14,14,50.00%,1901,1853,67.89,66.18,48,1.71
147,Norfolk St,31,21,10,67.74%,2064,2025,66.58,65.32,39,1.26
148,East Carolina,25,14,11,56.00%,1877,1876,75.08,75.04,1,0.04
149,Florida Intl,31,18,13,58.06%,2147,2144,69.26,69.16,3,0.10
150,Hawaii,29,16,13,55.17%,2107,2072,72.66,71.45,35,1.21
151,Loyola-Chicago,30,14,16,46.67%,1931,1893,64.37,63.10,38,1.27
152,SC Upstate,31,14,17,45.16%,2140,2103,69.03,67.84,37,1.19
153,Cal Poly SLO,27,15,12,55.56%,1765,1739,65.37,64.41,26,0.96
154,Rider,32,18,14,56.25%,2049,2022,64.03,63.19,27,0.84
155,UC Irvine,30,16,14,53.33%,2013,1988,67.10,66.27,25,0.83
156,Towson,30,17,13,56.67%,2046,2026,68.20,67.53,20,0.67
157,NJIT,24,12,12,50.00%,1628,1610,67.83,67.08,18,0.75
158,SMU,30,14,16,46.67%,1931,1907,64.37,63.57,24,0.80
159,W Kentucky,33,18,15,54.55%,2213,2191,67.06,66.39,22,0.67
160,Toledo,28,15,13,53.57%,1928,1911,68.86,68.25,17,0.61
161,SE Missouri St,31,15,16,48.39%,2261,2244,72.94,72.39,17,0.55
162,South Alabama,28,16,12,57.14%,1905,1892,68.04,67.57,13,0.46
163,James Madison,33,19,14,57.58%,2146,2131,65.03,64.58,15,0.45
164,Georgia St,30,14,16,46.67%,2028,2017,67.60,67.23,11,0.37
165,CS Fullerton,29,12,17,41.38%,2192,2181,75.59,75.21,11,0.38
166,UNC Asheville,29,13,16,44.83%,2050,2041,70.69,70.38,9,0.31
167,George Mason,32,18,14,56.25%,2136,2064,66.75,64.50,72,2.25
168,Columbia,26,10,16,38.46%,1597,1591,61.42,61.19,6,0.23
169,Quinnipiac,31,15,16,48.39%,2225,2220,71.77,71.61,5,0.16
170,Delaware,33,19,14,57.58%,2276,2275,68.97,68.94,1,0.03
171,Vanderbilt,30,14,16,46.67%,1800,1800,60.00,60.00,0,0.00
172,Grambling,27,0,27,0.00%,1340,2079,49.63,77.00,-739,-27.37
173,UC Davis,30,14,16,46.67%,2169,2175,72.30,72.50,-6,-0.20
174,Jacksonville St,26,15,11,57.69%,1685,1690,64.81,65.00,-5,-0.19
175,Coastal Car,26,11,15,42.31%,1687,1697,64.88,65.27,-10,-0.38
176,Drexel,31,13,18,41.94%,1953,1956,63.00,63.10,-3,-0.10
177,Lafayette,32,18,14,56.25%,2207,2220,68.97,69.38,-13,-0.41
178,William & Mary,29,12,17,41.38%,1982,1999,68.34,68.93,-17,-0.59
179,Bowling Green,30,12,18,40.00%,1903,1928,63.43,64.27,-25,-0.83
180,Bradley,32,16,16,50.00%,2142,2165,66.94,67.66,-23,-0.72
181,NC A&T,30,14,16,46.67%,1834,1860,61.13,62.00,-26,-0.87
182,St Francis NY,30,12,18,40.00%,2108,2143,70.27,71.43,-35,-1.17
183,Hartford,30,17,13,56.67%,1809,1835,60.30,61.17,-26,-0.87
184,IPFW,30,14,16,46.67%,1992,2028,66.40,67.60,-36,-1.20
185,IL Chicago,31,16,15,51.61%,1924,1959,62.06,63.19,-35,-1.13
186,Savannah St,29,16,13,55.17%,1578,1611,54.41,55.55,-33,-1.14
187,Mt St Mary's,31,18,13,58.06%,2163,2198,69.77,70.90,-35,-1.13
188,Hampton,30,14,16,46.67%,1876,1920,62.53,64.00,-44,-1.47
189,Sam Houston St,28,12,16,42.86%,1728,1774,61.71,63.36,-46,-1.64
190,Seattle,28,7,21,25.00%,1852,1941,66.14,69.32,-89,-3.18
191,W Carolina,31,12,19,38.71%,2115,2178,68.23,70.26,-63,-2.03
192,Wofford,31,12,19,38.71%,1771,1836,57.13,59.23,-65,-2.10
193,CS Northridge,29,12,17,41.38%,2120,2177,73.10,75.07,-57,-1.97
194,Youngstown St,29,14,15,48.28%,1988,2039,68.55,70.31,-51,-1.76
195,Stetson,30,14,16,46.67%,2099,2159,69.97,71.97,-60,-2.00
196,Appalachian St,29,13,16,44.83%,2054,2116,70.83,72.97,-62,-2.14
197,N Colorado,27,10,17,37.04%,1842,1912,68.22,70.81,-70,-2.59
198,N Kentucky,26,11,15,42.31%,1514,1574,58.23,60.54,-60,-2.31
199,UNC Greensboro,29,7,22,24.14%,2055,2174,70.86,74.97,-119,-4.10
200,ULL,32,12,20,37.50%,2261,2347,70.66,73.34,-86,-2.69
201,Binghamton,29,2,27,6.90%,1600,2030,55.17,70.00,-430,-14.83
202,Kennesaw,30,3,27,10.00%,1831,2150,61.03,71.67,-319,-10.63
203,MD E Shore,27,2,25,7.41%,1491,1882,55.22,69.70,-391,-14.48
204,Ark Little Rock,31,16,15,51.61%,2036,2102,65.68,67.81,-66,-2.13
205,New Hampshire,28,8,20,28.57%,1654,1768,59.07,63.14,-114,-4.07
206,CS Sacramento,27,12,15,44.44%,1703,1774,63.07,65.70,-71,-2.63
207,Bethune-Cookman,29,10,19,34.48%,1866,1967,64.34,67.83,-101,-3.48
208,Radford,29,10,19,34.48%,1884,1987,64.97,68.52,-103,-3.55
209,Portland St,26,6,20,23.08%,1767,1905,67.96,73.27,-138,-5.31
210,Holy Cross,30,12,18,40.00%,1834,1929,61.13,64.30,-95,-3.17
211,Liberty,32,12,20,37.50%,2156,2265,67.38,70.78,-109,-3.41
212,North Texas,30,11,19,36.67%,1964,2074,65.47,69.13,-110,-3.67
213,E Illinois,31,11,20,35.48%,1877,1996,60.55,64.39,-119,-3.84
214,UC Riverside,28,4,24,14.29%,1584,1858,56.57,66.36,-274,-9.79
215,Idaho St,29,5,24,17.24%,1640,1876,56.55,64.69,-236,-8.14
216,FL Atlantic,31,13,18,41.94%,2009,2114,64.81,68.19,-105,-3.39
217,N Illinois,28,4,24,14.29%,1503,1786,53.68,63.79,-283,-10.11
218,TAM C. Christi,28,5,23,17.86%,1686,1913,60.21,68.32,-227,-8.11
219,Brown,27,12,15,44.44%,1677,1766,62.11,65.41,-89,-3.30
220,Chicago St,26,5,21,19.23%,1617,1828,62.19,70.31,-211,-8.12
221,Penn,30,9,21,30.00%,1889,2046,62.97,68.20,-157,-5.23
222,Ball St,28,14,14,50.00%,1820,1908,65.00,68.14,-88,-3.14
223,Montana St,27,11,16,40.74%,1883,1988,69.74,73.63,-105,-3.89
224,North Florida,31,12,19,38.71%,2042,2170,65.87,70.00,-128,-4.13
225,Navy,30,7,23,23.33%,1634,1840,54.47,61.33,-206,-6.87
226,Winthrop,28,11,17,39.29%,1643,1760,58.68,62.86,-117,-4.18
227,CS Bakersfield,26,10,16,38.46%,1699,1810,65.35,69.62,-111,-4.27
228,Utah Valley,27,10,17,37.04%,1744,1864,64.59,69.04,-120,-4.44
229,Austin Peay,29,6,23,20.69%,2022,2255,69.72,77.76,-233,-8.03
230,Lamar,31,3,28,9.68%,1862,2398,60.06,77.35,-536,-17.29
231,VMI,28,11,17,39.29%,2095,2215,74.82,79.11,-120,-4.29
232,E Washington,31,10,21,32.26%,2146,2310,69.23,74.52,-164,-5.29
233,North Dakota,28,13,15,46.43%,1852,1955,66.14,69.82,-103,-3.68
234,Hofstra,31,6,25,19.35%,1799,1973,58.03,63.65,-274,-8.84
235,Campbell,30,11,19,36.67%,2054,2195,68.47,73.17,-141,-4.70
236,Troy,33,12,21,36.36%,2046,2203,62.00,66.76,-157,-4.76
237,C Michigan,29,10,19,34.48%,1944,2090,67.03,72.07,-146,-5.03
238,IUPUI,30,4,26,13.33%,1944,2338,64.80,77.93,-394,-13.13
239,Nicholls St,29,9,20,31.03%,1961,2125,67.62,73.28,-164,-5.66
240,Dartmouth,27,8,19,29.63%,1639,1802,60.70,66.74,-163,-6.04
241,Ga Southern,31,12,19,38.71%,1884,2028,60.77,65.42,-144,-4.65
242,Central Conn,30,13,17,43.33%,2186,2312,72.87,77.07,-126,-4.20
243,Edwardsville,25,7,18,28.00%,1541,1704,61.64,68.16,-163,-6.52
244,Samford,31,10,21,32.26%,1898,2074,61.23,66.90,-176,-5.68
245,St Peter's,30,9,21,30.00%,1788,1972,59.60,65.73,-184,-6.13
246,St Francis PA,29,5,24,17.24%,1804,2117,62.21,73.00,-313,-10.79
247,Texas St,30,9,21,30.00%,2107,2294,70.23,76.47,-187,-6.23
248,Maine,29,10,19,34.48%,1891,2049,65.21,70.66,-158,-5.45
249,Sacred Heart,29,9,20,31.03%,2036,2212,70.21,76.28,-176,-6.07
250,Cent Arkansas,27,11,16,40.74%,2016,2143,74.67,79.37,-127,-4.70
251,Howard,28,6,22,21.43%,1426,1677,50.93,59.89,-251,-8.96
252,MS Valley St,28,5,23,17.86%,1765,2069,63.04,73.89,-304,-10.86
253,Coppin St,30,7,23,23.33%,1859,2110,61.97,70.33,-251,-8.37
254,S Carolina St,27,4,23,14.81%,1589,1946,58.85,72.07,-357,-13.22
255,Cornell,30,12,18,40.00%,1937,2084,64.57,69.47,-147,-4.90
256,American Univ,30,10,20,33.33%,1735,1916,57.83,63.87,-181,-6.03
257,Jackson St,27,10,17,37.04%,1779,1926,65.89,71.33,-147,-5.44
258,Chattanooga,30,11,19,36.67%,2022,2187,67.40,72.90,-165,-5.50
259,MD Baltimore Co,30,7,23,23.33%,1900,2164,63.33,72.13,-264,-8.80
260,Alcorn St,31,9,22,29.03%,1833,2054,59.13,66.26,-221,-7.13
261,Siena,32,8,24,25.00%,1921,2189,60.03,68.41,-268,-8.38
262,Ark Pine Bluff,30,16,14,53.33%,1880,1998,62.67,66.60,-118,-3.93
263,Furman,29,5,24,17.24%,1703,2056,58.72,70.90,-353,-12.17
264,Colgate,32,11,21,34.38%,2033,2230,63.53,69.69,-197,-6.16
265,Florida A&M,28,6,22,21.43%,1765,2042,63.04,72.93,-277,-9.89
266,E Michigan,28,11,17,39.29%,1540,1692,55.00,60.43,-152,-5.43
267,Southern Utah,28,9,19,32.14%,1851,2038,66.11,72.79,-187,-6.68
268,Presbyterian,29,5,24,17.24%,1722,2092,59.38,72.14,-370,-12.76
269,TX Pan American,27,12,15,44.44%,1709,1846,63.30,68.37,-137,-5.07
270,Jacksonville,30,12,18,40.00%,2014,2186,67.13,72.87,-172,-5.73
271,Tennessee Tech,27,10,17,37.04%,1702,1874,63.04,69.41,-172,-6.37
272,Delaware St,28,11,17,39.29%,1614,1787,57.64,63.82,-173,-6.18
273,UNC Wilmington,29,9,20,31.03%,1837,2064,63.34,71.17,-227,-7.83
274,Prairie View,28,10,18,35.71%,1705,1896,60.89,67.71,-191,-6.82
275,Citadel,28,6,22,21.43%,1777,2100,63.46,75.00,-323,-11.54
276,Monmouth NJ,31,10,21,32.26%,2009,2252,64.81,72.65,-243,-7.84
277,McNeese St,26,10,16,38.46%,1690,1865,65.00,71.73,-175,-6.73
278,Alabama A&M,27,8,19,29.63%,1668,1912,61.78,70.81,-244,-9.04
279,Alabama St,30,9,21,30.00%,1847,2115,61.57,70.50,-268,-8.93
280,Houston Bap,25,9,16,36.00%,1508,1696,60.32,67.84,-188,-7.52
281,New Orleans,22,4,18,18.18%,1411,1744,64.14,79.27,-333,-15.14
282,Longwood,31,6,25,19.35%,2096,2438,67.61,78.65,-442,-14.26
283,Indiana St,31,17,14,54.84%,2037,2039,65.71,65.77,-2,-0.06
284,Northern Arizona,31,11,20,35.48%,2082,2327,67.16,75.06,-245,-7.90
285,SE Louisiana,27,10,17,37.04%,1661,1870,61.52,69.26,-209,-7.74
286,F Dickinson,31,7,24,22.58%,2034,2448,65.61,78.97,-414,-13.35
287,TN Martin,28,7,21,25.00%,1832,2179,65.43,77.82,-347,-12.39
288,Lipscomb,29,11,18,37.93%,2006,2245,69.17,77.41,-239,-8.24
289,ETSU,31,9,22,29.03%,1900,2238,61.29,72.19,-338,-10.90
290,S Illinois,30,13,17,43.33%,1864,1957,62.13,65.23,-93,-3.10
291,NE Omaha,29,10,19,34.48%,2055,2382,70.86,82.14,-327,-11.28
292,Marist,31,10,21,32.26%,2045,2091,65.97,67.45,-146,-4.71
293,Oakland,30,14,16,46.67%,2173,2247,72.43,74.90,-74,-2.47
294,Old Dominion,30,5,25,16.67%,1947,2128,64.90,70.93,-181,-6.03
295,South Dakota,28,8,20,28.57%,1948,2076,69.57,74.14,-128,-4.57
296,Seton Hall,31,14,17,45.16%,2027,2033,65.39,65.58,-6,-0.19
297,South Carolina,31,14,17,45.16%,2056,2135,66.32,68.87,-79,-2.55
298,Tennessee St,30,16,14,53.33%,2117,2132,70.57,71.07,-15,-0.50
299,San Francisco,28,12,16,42.86%,1922,1939,68.64,69.25,-17,-0.61
300,Manhattan,31,14,17,45.16%,1808,1856,58.32,59.87,-48,-1.55
301,Missouri KC,31,7,24,22.58%,1851,2188,59.71,70.58,-337,-10.87
302,UT San Antonio,29,8,21,27.59%,1855,2038,63.97,70.28,-183,-6.31
303,WI Milwaukee,30,6,24,20.00%,1836,2138,61.20,71.27,-302,-10.07
304,Buffalo,30,10,20,33.33%,1962,2039,65.40,67.97,-77,-2.57
305,Tulsa,29,15,14,51.72%,1926,1966,66.41,67.79,-40,-1.38
306,Santa Barbara,28,9,19,32.14%,1768,1899,63.14,67.82,-131,-4.68
307,UAB,30,14,16,46.67%,2133,2159,71.10,71.97,-26,-0.87
308,Rice,28,4,24,14.29%,1674,1992,59.79,71.14,-318,-11.36
309,Idaho,28,11,17,39.29%,1910,1967,68.21,70.25,-57,-2.04
310,Pepperdine,29,11,18,37.93%,1823,1962,62.86,67.66,-139,-4.79
311,Long Beach St,28,16,12,57.14%,1933,1985,69.04,70.89,-52,-1.86
312,Yale,29,12,17,41.38%,1863,1954,64.24,67.38,-91,-3.14
313,Georgia,31,15,16,48.39%,1883,1903,60.74,61.39,-20,-0.65
314,St John's,30,16,14,53.33%,1972,1988,65.73,66.27,-16,-0.53
315,Miami OH,28,7,21,25.00%,1760,1951,62.86,69.68,-191,-6.82
316,Morehead St,31,13,18,41.94%,2181,2191,70.35,70.68,-110,-3.55
317,ULM,27,4,23,14.81%,1621,1959,60.04,72.56,-338,-12.52
318,Auburn,31,9,22,29.03%,2012,2130,64.90,68.71,-118,-3.81
319,Marshall,31,13,18,41.94%,2152,2287,69.42,73.77,-135,-4.35
320,Florida St,31,17,14,54.84%,2077,2108,67.00,68.00,-31,-1.00
321,Rutgers,29,14,15,48.28%,1890,1926,65.17,66.41,-36,-1.24
322,Drake,31,14,17,45.16%,2200,2253,70.97,72.68,-53,-1.71
323,Utah,28,11,17,39.29%,1748,1802,62.43,64.36,-54,-1.93
324,Boston College,31,15,16,48.39%,2073,2113,66.87,68.16,-40,-1.29
325,Cleveland St,29,11,18,37.93%,1824,2032,62.90,70.07,-208,-7.17
326,San Jose St,27,8,19,29.63%,1659,1878,61.44,69.56,-219,-8.11
327,Fresno St,27,9,18,33.33%,1564,1649,57.93,61.07,-85,-3.15
328,USC,31,14,17,45.16%,2035,2094,65.65,67.55,-59,-1.90
329,West Virginia,31,13,18,41.94%,2047,2107,66.03,67.97,-60,-1.94
330,Wake Forest,30,13,17,43.33%,2031,2103,67.70,70.10,-72,-2.40
331,Texas Tech,29,10,19,34.48%,1892,2096,65.24,72.28,-204,-7.03
332,DePaul,31,11,20,35.48%,2227,2333,71.84,75.26,-106,-3.42
333,San Diego,32,14,18,43.75%,2036,2137,63.63,66.78,-101,-3.16
334,Northwestern,31,13,18,41.94%,1884,1964,60.77,63.35,-80,-2.58
335,Loy Marymount,32,10,22,31.25%,2017,2206,63.03,68.94,-189,-5.91
336,Rhode Island,29,8,21,27.59%,1786,1947,61.59,67.14,-161,-5.55
337,Duquesne,30,8,22,26.67%,2028,2269,67.60,75.63,-241,-8.03
338,Nevada,29,11,18,37.93%,1927,2070,66.45,71.38,-143,-4.93
339,Virginia Tech,31,13,18,41.94%,2185,2313,70.48,74.61,-128,-4.13
340,South Florida,30,12,18,40.00%,1780,1882,59.33,62.73,-102,-3.40
341,Missouri St,31,9,22,29.03%,1795,2026,57.90,65.35,-231,-7.45
342,TCU,30,10,20,33.33%,1629,1885,54.30,62.83,-256,-8.53
343,Portland,30,9,21,30.00%,1778,2050,59.27,68.33,-272,-9.07
344,Mississippi St,30,9,21,30.00%,1817,2096,60.57,69.87,-279,-9.30
345,Fordham,31,7,24,22.58%,1997,2353,64.42,75.90,-356,-11.48
346,Penn St,30,10,20,33.33%,1844,2032,61.47,67.73,-188,-6.27
347,Nebraska,31,14,17,45.16%,1816,1968,58.58,63.48,-152,-4.90
